Rang-Hierarchie Star Trek;Hierarchie: für Wechsel zwischen Feindschaft oder Allianz oder nur Hierarchie mit offen unbekannt ob Krieg, etc.;Zeitalter Weltordnung;Musik Mono Stereo Surround;entweder Land bzw. Nation (sieben) oder Länderdachorganisation eines Kultur-Raumes wie die europäische Union (achtundzwanzig) oder eine Einundzwanzig;Absicht (13) Motiv (13) vier mal ganze natürliche Zahl n für Pro-Innen-Primzahlen also bei ganze natürliche Zahl mal sechs minus eins, sofern dort Primzahl und dann diese Primzahl mal vier oder mal acht oder mal sechzehn, sodass in dieser Spalte die Multiplikation mit mal vier nicht sichtbar aber gemeint ist. (mal vier ist es der Spieler, die Spielfigur, mal acht ist es das jeweilige Computerspiel und mal sechszehn ist es das gesamte Genre der Computerspiele-Art. );Ketten-Molekül Lebensformen (alles außer Kohlenstoff, aber auch vierte Spalte Periodensystem der Elemente) und Leben (Kohlenstoff basiert) Elemente Atome
;?;Urzeit, Steinzeit, etc.;?;?;-;-
cadetKadett;?;Nomaden-Zeitalter;?;?;-;-
;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel;?;?;-;-
crewmenBesatzungsmitglied;?;imperiales Zeitalter: z.B. römisches Imperium, Persien, griechisch antikes Imperium, chinesisches Reich, Byzanz;?;?;-;-
;?;?;?;?;Tetris, Zentris, und vergleichbares;Zentralität: Satan und Teufel als diplomatische Botschafter von nicht nur Tieren
Non-commissioned-officerUnteroffizier;?;Merkantilismus Kapitalismus Marktwirtschaft, Anfänge;?;?;-;Kohlenstoff: z.B. Pflanzen, Tiere, Menschen, Pilze, Bakterien, eigentlich kein Leben, aber Viren kohlenstoffbasiert
;?;ab erstem Messias Jesus Christus: aber intelligenter Selbstmord über Judas woran Silikoiden schuld sind, die ihre Hölle behalten wollen. Eigentlich Unsterblicher begeht Selbstmord: Spezies hat großes Pech. Kohlenstoff braucht Germanium.;?;Land bzw. Nation, z.B. Imperium oder Föderation;-;Himmel und Hölle, gutmütig gutherzig gegenüber böse evil Schrecklich: in der Hölle geht es den nicht so sehr bösartigen besser, und im Himmel mehr bösartigen weniger gut: Nach Himmel und Hölle gibt es noch mal woanders Himmel und Hölle, also es wird neu sortiert, weswegen beides Mist ist: Himmel und Hölle obwohl eins gut underes schrecklich: beides ist sehr nachteilhaft.
commanderKommandant, asWie forZum exampleBeispiel  CaptainKapitän;?;militärisch Raum-konservatives Zeitalter der Gerechtigkeit durch Gewalt und göttliches Recht, ab Mohammed Islam Moslems, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung;?;?;-;-
;Zerg von Antares;Weltordnung oder Zeitalter Vereinte Nationen, Einheit, Reproduktion, Fortpflanzung, Lust, Städte, Metropolen, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung;?;?;-;-
admiralAdmiral, correspondsEntspricht certainlySicherlich generalGeneral, ifWenn ItEs isGeht aboutUm groundBoden troopsTruppen instead-ofStatt shipsSchiffe;Menschen Leute Menschheit;Weltordnung oder Zeitalter vollständiger gesamter totaler kompletter Planet, mathematisch, Prädikatenlogik, Strukturwissenschaften wo nur eine davon Mathematik ist, vielleicht auch mathematische Physik, Computer, Rechner, Machiavellisten, Globalisten;?;?;-;-
;Protos;Weltordnung Zeitalter mit Massenmedien Unterhaltung Verhaltensweisen, Robotik, Androiden, Chaos, Spaß, Witz, Humor, Systemtheorie – erweitert u.a. auch Spieltheorie, nach Strukturwissenschaften wie Mathematik kommen Systemwissenschaften oder Verhaltenswissenschaften, Kolonisierung des Erdtrabentens Mond um Planet Erde;?;?;der Protagonist oder NPC (None-Player-Character), die Computerspielefigur, ob vom Menschen gesteuert oder eine Computerintelligenz oder etc.;-
RikerRiker;?;Zeitalter und Weltordnung mit und durch Kybernetik Cyborgs Koordinaton fixiert Sonnen-Sternen-System, Cyberspace statt Computer-Internet als etwas anderes höheres;?;?;-;-
ab hier Dreizehn ist Hierarchie nicht mehr genügend ausreichend, z.B. muss es ab der Vierzehn weiterhin noch der Abstrakt Syntax Baum für Formeln und Formulierungen und formale Methoden sein, um inter Galaktische Galaxie Cluster zu Fusionieren auf eins vom Vielen;?;?;?;?;-;irgendwie etwas vergleichbares zu Satan und Teufel oder wer weiß
BarclayBarcelay;?;?;?;auch die katholische Kirche arbeitet nach diesem Prinzip als Organisation vom Typ Tetraidegramm Vierzehn N;-;Silizium Silikoiden Computerintelligenzen künstliche Intelligenz Lebewesen, Lebensform statt Leben, super extrem überlegen genüber Leben, Leben auf Kohlenstoffbasis, (die Hölle von der Jesus Christus sprach bei den Silizium Silikoiden)
O 15;?;?;?;?;-;irgendwie etwas vergleichbares zu Himmel und Hölle und gutmütig guterzig böse Schrecklich
P 16;?;?;?;?;-;-
Q 17;?;?;Mono;?;Kiffelspiele, Knobelspiele, Ratespiele, Denkspiele;-
R 18;?;?;Mono;?;-;-
S 19;?;?;Mono;?;-;-
T 20;?;?;Mono;?;-;-
U 21;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel;Mono;Länder-Verbindungs-Organisation, Bündelung des Willens von Ländern, ggf. auch z.B. als Imperium oder Föderation, etc.;-;-
V 22;?;Weltordnung Wissenschaft Forschung Universitäten Professoren Wissenschaftler Forscher: unglaublicher Bösartigkeitsgrad heute;Mono;?;-;-
W 23;?;Geheimdienst-basierte Weltordnung, einheitlich, Einigung, offiziell und tätlich politisch aber tatsächlich Ebene Vereinte Nationen Einigung Planet Menschheit: heute unglaublich bösartig unvorstellbar;Mono;?;Das Jump ´n Run Computerspiel, wie z.B. Mario Brothers, Alex the kid, Sonic auf Nintendo oder Sega Master System Sega Mega Drive aus den neunziger Jahren;-
X 24;?;X Netzwerk-basierte Weltordnung;Mono;?;-;-
Y 25;?;Welt-Bevölkerung, Welt-Bürgertum;Mono;?;-;-
Z 26;?;bidirektionale unilaterale koopertive, ggf. auf Stern-Topologie basierende, Beziehungen unseres Heimatplaneten Erde mit wahrscheinlich als erstes Nachbar Sternen-System Centauri Vulkanier, aber weitere;Stereo;?;-;-
AA 27;?;unilateral, Urlaubsplanet Erde: Außerirdische klauen uns unsere Frauen oder hoffentlich doch nicht so übel, mal sehen. Oder wir klauen deren Frauen. Jedenfalls Urlaub. Kennt man.;Stereo;?;-;-
AB 28;?;Multilateral, Sternenflotte Föderation von Star Trek oder anstelle auf Typ drei basierend, wäre z.B. auch Konföderation Typ sechs  oder Imperium Typ vier denkbar für die Galaxie;Dolby Surround Sound;Länderdachorganisation eines Kultur-Raumes wie die europäische Union oder auch Star Trek Sternenflotte Föderation (Drei C Dreieck) oder Konföderation (Sechs Hexagramm F) oder Imperium (Vier Quadrat D);-;-
AC 29;?;Multilateral, Sektion Einunddreißig von Star Trek, die eigentlich eine Neunundzwanzig ist, also Think Tank oder Denkfabrik, d.h. wie Geheim-Organisation Zwei Punkt Null, naja, ein wenig doch schon aber statt Bedenken geht es um das nachdenkliche Ergründen analog Forschung, die aber auf einem Forschungsbaum basiert, also doch anders;Dolby Surround Sound;Sektion Einunddreißig von Star Trek, die eigentlich eine Neunundzwanzig ist, also Think Tank oder Denkfabrik, d.h. wie Geheim-Organisation Zwei Punkt Null, naja, ein wenig doch schon aber statt Bedenken geht es um das nachdenkliche Ergründen analog Forschung, die aber auf einem Forschungsbaum basiert, also doch anders. Multilateral. Das ist diese Koderierung der Invertierung von pro-außen und pro-innen Primzahlen, wie vom Kornkreis von Arecibo. Dabei werden diese beiden Primzahlarten invertiert verdreht vertauscht welche neben sechs mal ganze natürliche Zahl liegen, wie sieben und fünf und hier einunddreißig und neunundzwanzig. Eigentlich ist Sektion Einunddreißig eine Organisation Neunundzwanzig mal Acht was Organisation Zweihundertzweiunddreißig ergibt: Raum-Zeit Denk-Fabrik.;Das Advanture Computerspiel, wie z.B. Kyrandia oder Monkey Island aus den neunziger Jahren;-
AD 30;?;Multilateral;Dolby Surround Sound;?;-;-
AE 31;?;Multilateral. Nein, das hier ist nicht Sektion Einunddreißig. Das ist diese Koderierung der Invertierung von pro-außen und pro-innen Primzahlen, wie vom Kornkreis von Arecibo. Dabei werden diese beiden Primzahlarten invertiert verdreht vertauscht welche neben sechs mal ganze natürliche Zahl liegen, wie sieben und fünf und hier einunddreißig und neunundzwanzig. Eigentlich ist Sektion Einunddreißig eine Organisation Neunundzwanzig mal Acht was Organisation Zweihundertzweiunddreißig ergibt: Raum-Zeit Denk-Fabrik.;Dolby Surround Sound;?;-;irgendwie etwas vergleichbares zu Satan und Teufel oder wer weiß
AF 32;?;Multilateral;Dolby Surround Sound;?;-;Germanium Lebensformen auf Gasriesen Planeten wie Jupiter und Saturn. Vielleicht ist das Protomolekül aus The Expanse auf Germanium Atom Element die Grundlage dessen Kettenmolekül-Lebensform. Einigermaßen plausibel.
AG 33;?;Inter-multilateral, etwas komplexer als multilateral mit Management von halben Feindschaften ist inter-multilateral, wenn multilateral nicht kompliziert genug ist und einem langweilig ist, weil es sonst nicht zu tun gibt. Das Leben ist nicht schwer genug: achso. Haha;?;?;-;irgendwie etwas vergleichbares zu Himmel und Hölle und gutmütig guterzig böse Schrecklich
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;?;?;-;-
;;;;?;-;-
;;;;?;-;Zinn, vielleicht (entweder Zinn oder Blei vermutlich) die Formwandler aus Star Trek Sternenflotte Föderation  Deep Space Nine zu dem Dominion gehörend oder dessen Anführer
;;;;?;-;-
;;;;?;-;-
;;;;?;-;-
;;;;?;-;-
;;;;?;-;-
;;;;Mehrere Kulturen Organisation als Dachorganisation der Länder-Dachorganisation mehrerer Kultur-Räume, wie die Europäische Union oder die Star Trek Sternenflotte  Föderation mit der Spezial-Sozial-Intelligenz über viele Kulturen, statt soziale Intelligenz über Gruppen. Man kann sozial intelligent aber kulturell dumm sein und umgekehrt.;-;-
;;;;?;-;-
;;;;?;-;-
;;;;?;-;-
;;;;?;-;-
;;;;?;;-
;;;;?;;-
;;;;?;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;-
;;;;;;Blei, vielleicht (entweder Zinn oder Blei vermutlich) die Formwandler aus Star Trek Sternenflotte Föderation  Deep Space Nine zu dem Dominion gehörend oder dessen Anführer
;;;;;;-
