Identität, z.B. mathematisch;1 / 2 Art und Weise (fast sicher),2 / 4 die Gegebenheit (Ausgangslage) (sicher), 3/6 die Beschaffenheit (stimmt wahrscheinlich), 4/8 die Begebenheit (stimmt wahrscheinlich), 5/10 ganzer schlüssiger Wahrheitsumriss (ungefähr so etwas), (1/4)/(1/2) die Erkennungsgestaltung (fast sicher), (1/6)/(1/3) die Beschaffenheit (sicher), (1/8)/(1/4) das Naturgesetz (nicht 100% sicher);"1/3 die Bedingung (größtenteils sicher) , 2/6 das Messbare (sicher), 3/9 erfassbar (mensurabel) (sicher),4/12 der jeweils abstrakte Grundgedanke über Messung (sicher), (1/6)/(1/2) die Eignung zum Messen (größtenteils sicher), (warum immer ""Messen"": wegen der 6 [der Wert] bei 2/6 [, was der Einstieg in die ganzen Überlegungen ist])";1/4 Manifestation (bin mir fast sicher), die Invariante der Zeitachse (fast sicher) , 2/8 das prinzipiell Erfassbare (bin mir fast sicher), 3/12 das real existierende aus jeweiliger Abstraktion (größtenteils sicher), (1/8)/(1/2) das Zusammentreffen von Angelegenheiten (passt gut);1/5 das (mathematisch) Kontinuierliche (größtenteils sicher), 2/10 die Gegenstände von der Wahrheit (z.B. von der Logik) (größtenteils sicher), 5/25 das (minimalste) Informationsatom, atomare Übertragung (sehr sicher), 3/15 die Frage ob etwas existiert (z.B. Anomalie im schwarzen Loch) wenn man dividiert, Rekursion betreibt (irgendwie so etwas);1/6 das Pure (bin mir fast sicher), 2/12 das Essenzielle und damit das Wesensmerkmal (von ggf. mehreren von einem Wesen) (größtenteils sicher), 3/18 das real existierende von einem Bezug von z.B. Meinungen (passt gut), (1/12)/(1/2) die elementare Grundlage für die Existenz von Lebewesen, Gattungen, Arten, Spezies (größtenteils sicher);"1/7 Position (mathematisch),d.h.: „Lage, Situation, Gegebenheit“ (komplementär zu 7=Richtung selbst); „günstig-gelegen“ (komplementär zu 7=das Gute) (bin mir sehr sicher), 2/14 Operanden und Operation, nicht unbedingt das Ergebnis (größtenteils sicher), 3/21 Ressourcen und Umstände (einigermaßen sicher), (1/14)/(1/2) die Bestandsaufnahme und Rekapitulation";1/8 das Prinzip (bin mir sehr sicher), 2/16 Bestandteile einer Analysis-Funktion, d.h. beide Mengen und die Abbildung dazwischen (kann das ja nur sein), (1/16)/(1/2) die Anpassung (einer Rolle auf einer Gegebenheit) (größtenteils sicher), 3/24 die Verbindung zwischen mindestens 2 Knoten (fast größtenteils sicher) ;1/9 die Problematik-Angelegenheit (nicht unbedingt die Lösung) (halte ich für sehr wahrscheinlich), 2/18 die 2 Dinge des Vergleichs und der Relationstyp (oft Ungleichheit) (sehr wahrscheinlich), 3/27 vorhandenes Livelock- oder Deadlock-Problem (größtenteils sicher), (1/18)/(1/2) Gestaltungsproblemstellung (größtenteils sicher);1/10 das Objekt (bin mir sehr sicher), 2/20 die Objekte einer Klasse und die logische Aussage, die die Objekte der Klasse bestimmt (sehr wahrscheinlich), (1/20)/(1/2) die Metawahrheitsformung (irgendwie so etwas);1/11 Merkmal (sehr wahrscheinlich), 2/22 alle einzelnen UML-Diagramm-Bestandteile (Softwareentwicklung) (sehr sicher);1/12 Gattung bzw. Art einer Einteilung, nur abstrakte - nie konkrete Universalien (sehr wahrscheinlich), 2/24 Knoten und Kanten eines Netzwerkes, ggf. Maschen (sehr sicher);1/13 die Instruktion, Handlungsanweisung, Gebrauchsanweisung, der Befehl (größtenteils sicher), 2/26: 2 Punkte und 2 Richtungen (sehr sicher);1/14 die Analyse (größtenteils sicher), 2/28 Nachbarschaften und Axiome (d.h. die Bestandteile von topologischen Räumen) (sicher);Extraversion (bin mir unsicher);die Rolle (z.B. in der Gesellschaft, vielleicht Archetypen) (halte ich für sehr wahrscheinlich);1/17 die Richtung (in Denkvorgängen, statt wie bei der 7 als Richtung des Anführers) (größtenteils sicher), 2/34 die nur wesentlichen Bestandteile von: kontravarianter Funktor und Adjunkionen (nicht 100% sicher, passt aber gut);1/18 die Gliederung (nicht total sicher), Integralrechnung (nicht total sicher) (wenn 18. Differentialrechnung ist, dann ist 1/18 wohl Integralrechnung);1/19 die Grundlage, das Fundament (analog Fundamentalismus) (bin mir fast sicher)
das Konkrete (die Einteilung) (nie abstrakte, nur konkrete Universalien) ;;"die Form (2/3) (100% sicher); der Delta-Wert (unsicher) (4/6) („Zeit=Geld“); Epoche, Ära (4/6) (sicher) = der Betrag (6/9) von einer Einheit (sehr sicher);  das Schematisierbare ([1/3]/[1/2]); der Schein [(1/6)/(1/4)] (sicher); die (z.B. Physik oder BWL, etc.) Formel und das Formulierbare [(1/9)/(1/6)] (einigermaßen sicher); Syntax (14/21) (halb sicher); das neue Terrrain pro Analyse [(1/21)/(1/14)] (Mode eröffnet ein neues Feld, das man analysieren kann, neue Menschentypen) ist die Betrachtung der Form (2/3); das imperative Programmierparadigma (d.h. also hier doch ein gebrochen-rationales Meta-Paradigma laut ReTa sein soll) (4/12) (d.h. Tätigkeiten pro Reihenfolgen)";;"Der Bestandteil von etwas Ganzem oder eine Vielzahl von etwas Ganzen oder das Ganze selbst (2/5) (ich bin mir sehr sicher), weil das Konkrete (2) kleiner, größer, gleich dem Ganzen (5) sein kann. ; Quotient, Divident, Divisor als Zahlen (6/15) (unsicher, könnte nämlich auch 2/15 sein, dann aber als etwas allgemeiners als Zahlen)";;"die Etappe (Stufe auf einer Richtung) (2/7) (größtenteils sicher); Woher (Unglück), wohin (Glück) und der Weg dazwischen; als Komponenten (2) der „Richtung (7)“ (sicher) (2/7) (fehlt noch die mathematische Entsprechung),  Mixtur (unsicher) (4/14); Rangordnung (6/21)";;der Teil (2/9) (fast total sicher) (=universelles Objekt 2/9), aber das hier ist Geist 2/9: Berührung;;;;;;;;;;
Existenz;"der Inhalt (3/2) (bei Inhalt bin ich mir 100% sicher); der Verlauf (6/4); Zugehörigkeit eines Wertes zu einer Einheit, dessen Entsprechungsgrad (9/6) (größtenteils sicher); die Einheiten-Betrachung von Werten mit Einheiten (9/6) (größtenteils sicher); die Eigenschaften von Zuständen bestimmen (12/8) (passt gut); das was „zwischen den Zeilen“ steht (15/10) (stimmt wahrscheinlich) ; der Umstand (die Art und Wiese [1 / 2] der Bedingung [ 1/3 ])  [(1/2)/(1/3)] (größtenteils sicher) =das Gegenstück zum Schein: das Sein, (aber nicht das von 8. Sein und Zustand) sondern als Manifestation (1/4) [(1/4)/(1/6)] (sicher); die Klarheit von und über Problematiken [(1/6)/(1/9)] (halb sicher); Instanzen analysieren [21*(1/14)] ist die Betrachtung der Form (3/2) ";;"Zustande-kommen, Schöpfung, Entstehung, Hervortreten, Geburt, Schaffung (sicher) (3 / 4); die Situation und Lage (3/[1/4]) (halb sicher); Stadium, Niveau (6/8) (halb bis größtenteils sicher), Plastizität und Elastizität und Bruchsicherheit [(1/4)/(1/3)] (halbwegs sicher), Mengeneinheit (Stück, Dutzend) (9/12) (müsste eigentlich stimmen) und Cluster einer Datamining-Cluster-Analyse (9/12) (gibt es auch als 9/20) (müsste eigentlich stimmen), Minimalismus [(1/8)/(1/6)] (das passt gut); Die einheitlichen Elemente (9), ggf. als Variablen, Konstanten, Einheiten, pro ihrer zugehörigen Menge (12) (9/12); Analysis-Funktions-Arten (sogenannte  Charakteristische Eigenschaften von Funktionen) (12/16) (das kann passen) und Arbeitsberufsarten (12/16) (das kann passen); Zuständigkeit [(1/16)/(1/12)]; 18/24: der Knoten (18) oder die Kante (18) von einem Graphen (24) oder der Teil der GraphenTheorie, der die Beziehungen (18) der Graphen (24) untersuchen möchte (18/24) (größtenteils sicher)";das, was im Kontext steht, also das Vordergründige oder das Zentrale innerhalb des Kontextes (3/5) (sicher) ,Anhaltspunkt (9/15) (ich bin mir 85% sicher);;"die Stelle auf einem Pfad (3/7) (größtenteils sicher); mathematische sogenannte Kombinatorik (6/14) (größtenteils sicher); Abteilung (9/21) (unsicher)";"die Dichte (halb bis größtenteils sicher) (wie viel etwas pro Raum existiert) (3/8); Existenzprinzipien (3*[1/8]); Situation (unsicher) = ein Funktionswert einer Funktion in der Definitionsmenge oder Wertemenge (6/16), wenn die Funktion (16) aus Zahlen (6) besteht, also „16 mit 6“ ist (sicher)";;;;;;;;;;;
Veränderung (Zeit[-achse]);;die Entwicklung, Weiterentwicklung, Fortentwicklung (4/3) (größtenteils sicher), der affine Raum (8/6) (halb bis größtenteils sicher), Abstraktion (12/9) (halb bis größtenteils sicher);;die graduelle Veränderung (stufenlose Veränderung, die ein atomarer gänzlicher Veränderungsschritt schuf) (4/5) (größtenteils sicher);;verschieben (größtenteils sicher) (4/7);;;;;;;;;;;;
Ganzheit, mathematisch: diskret, atomar/elementar;"Vollständigkeit (5/2) (sicher); Naturgesetze der Art Gleichungen pro Zeitachse (10/4) (halbwegs sicher)";der existenzielle Kontext (5/3) (sicher), Angemessenheit und Stimmigkeit (Richtigkeit einer Zahl) (10/6) (halb sicher), Bezug und Zusammenhang (15/9) (unsicher);die Wechselwirkung (in der Wirklichkeit [10]) oder im Universum (15) die Atomatiztät (5) oder Gänze (5) von Veränderungsabschnitten (4)  (5/4) (größtenteils sicher) (vergleichbar zu ACID bei Datenbanken);;"runden mit round, ceil oder floor, etc. auf ganze Zahlen (5/6) (größtenteils sicher) oder die Gesamtheit (5) auf die die Zahl (6) passt (5/6) (größtenteils sicher); Fragen nach Mächtigkeiten von Mengen, Extensionalität und Gleichheit (10/12) (größtenteils sicher)";"Sinus und Cosinus (größtenteils sicher); vom Beginn bis zum Ziel, gesamter Abschnitt (5/7), Lösungswege z.B. in Mathe (10/14), d.h. ob die Kombination die richtige Kombination ist, ist fast das gleiche, wie ob man in Mathe den richtigen Lösungsweg hat, Denkansätze bis zur geistigen Verarbeitung (15/21), das geschaffene (geistige) Werk (semantischi-linguistisch) (zu allem: ich bin mir sehr sicher)";Zugehörigkeitsgrad, Integriertheit als Maß (Funktionsgleichung [10] pro Funktion [16]), Einbindung (Reziprozität [15] pro Netzwerk [24]) (alles sicher);;;;;;;;;die diskrete (nicht als Zahl) Wahrscheinlichkeits-Chance, z.B. auf Münze Kopf oder Zahl (5/17);bei Datenbanken die sogenannte Atomizität, die Teil von „ACID“ ist;
Wert;;;;"Prozent oder Promille (6/5) (größtenteils sicher); die Mengen zugehörig zu einer Gleichheit von Mengen oder zu einem delta Extensionalitätsunterschied (12/10) (größtenteils sicher)";;SQL-relationales Mapping (18/21), Zusammenfassungsmethoden als Rechnungen zu Ergebnis (umgekehrte abstrakte Algebra) (12/14), konkrete Algebra für Zahlen anwenden, z.B. Zahlen anordnen, etc. (umgekehrte konkrete Algebra) (6/7);;;;;;;;;;Statistik: messbares oder Zahlen aus Wahrscheinlichkeiten: Kann auch Typ 17/(6*n) sein (alles halb sicher bis sehr sicher);;
das Gute, mathematisch: die Richtung;"das Wünschenswerte (7/2) (halb bis größtenteils sicher), wie bei Motor oder Flaschenzug Veränderungen zu kombinieren (14/4); Aufwand (21/6)";"Algebra von Existenz (wenn es so etwas geben würde – das wären so etwas wie Physik-Gesetze) (wie bei Billard [aber da gibts auch Raum {8}]) (7/3) (halb bis größtenteils sicher); umgekehrte sogenannte mathematische Kombinatorik (14/6) (halbwegs sicher)";Einlenken, Ausweichen, Zuwenden (größtenteils sicher);"Arksinus und Arkcosinus (größtenteils sicher); alle Pfade  in einer Angelegenheit (z.B. einem Labyrinth) (7/5) (größtenteils sicher), der Spin eines Elementarteilchens (auch 7/5) (sicher), Rechenvarianten mit beliebigem Ziel und beliebigem Anfang und keiner festen Aufgabe (14/10), Thema in das sich ein geistig tief in sich Versunkener vertieft (21/15) (ich bin mir fast 100% sicher)";konkrete Algebra (7/6), abstrakte Algebra (14/12), relationale Algebra (21/18) (ich bin mehr als sehr 100% sicher, fehlt noch die allgemeinsprachliche oder philosophische oder semantische Entsprechung), algebraische Topologie (28/24), universelle Algebra (35/30) (halb bis größtenteils sicher);;"direkte Algebra des Vektor-Raumes oder lineare Algebra (7/8); abstrakte Algebra des Vektor-Raumes oder auch lineare Algebra (14/16); Teile der Theorie der Generierung von Funktionen bzw. „das Programmierparadigma der funktionalen Programmierung, das hier also doch ein gebrochen-rationales Meta-Paradigma laut ReTa sein soll!“ (14/16)";"""Dimensionsanalyse"" oder ""Einheitenanalyse"" ist die Algebra der Einheiten und Variablen";"Algebra der Optimierungsprobleme (wenn es diese geben würde) (wäre dann sicher) 7/10; Die Folgerichtung (aus Nebenbedingung und Optimum) (welche Richtung ergibt sich aus der Wirklichkeit) (7/10), abstrakte Algebra für Logik (14/20) (größtenteils sicher)";;"direkte Algebra der Mengen also über Mengenoperationen (7/12); abstrakte Algebra der Mengen also über Mengenoperationen (14/24)";;;;;;;
das Sein, d.h. also der Zustand (den gibt es auch in der theoretischen Informatik), mathematisch gehören dazu: Dimensionen (ohne mehr, also z.B. ohne eine Metrik oder Zahlen auf den Dimensionen);;"wie Dünn oder leer das Volumen ist (halb bis größtenteils sicher) (8/3); die Analysis-Funktion dieser Zahl, die aus dessen Wertebereich oder Definitionsbereich ist (16/6) (sicher)";;"der Umfang und die Ausdehnung (8/5) (größtenteils sicher); die Funktion einer Gleichung oder Ungleichung (Funktion [16] pro Wahrheit [10]) (halb sicher); wie gut ein Netzwerk ist insofern: Reziprozität (15) pro Netzwerk (24) (unsauber schwammig ausgedrückt)";;"Anwendung der Algebra von Vektorräumen und der linearen Algebra, statt diese selbst (8/7);Generierung von Funktionen (16/14)";;;;;;;;;;;;
Einheit (math.: Menschengruppe, Maßeinheit, etwas bezüglich Monoid, Zusammenfassung);;;;;;"Anwendungen der ""Dimensionsanalyse"" oder ""Einheitenanalyse"" in Einheiten";;;Möglicherweise: eine Art der theoretischen (umgekehrt der angewandten) Physik (Einheiten pro Wirklichkeiten);;;;;;;;;
Wahrheit, Wirklichkeit, („Aktualität“ ist philosophischer Terminus für Wirklichkeit);;;;;;"Die Wahl einer Optimierungsaufgabe aus Richtungsvorgaben oder auch: gäbe es eine Algebra von Optimierungsproblemen, dann ist dies hier dessen Anwendung davon; die Konsequenzwirklichkeit (welche Wirklichkeit ergibt sich aus der Richtung) (10/7)";;möglicherweise: praktische, angewandte Physik: Wirklichkeiten pro Einheiten;;;;;;;;der Teil der Numerik, der aus unsicheren (17) Daten und Informationen Gleichnungen (10) herstellen will (größtenteils sicher);;
Andersheit bzw. Unterscheidung;;;;;;;;Kompliziertheit als Verworrenheit als Schwierigkeit (11/9) (halb sicher);;;;;;;;;;
das Wesen, d.h. der Containerdatentyp (Menge, Liste und alles andere) damit indirekt alle Räume nicht nur aus Dimensionen und das impliziert damit die Abstraktheit als solches, die mathematische (0,0)-Kategorie;;;;;;Anwendung der Algebra der Mengen also über Mengenoperationen für die Praxisanwendung (12/7);;;;;;;;;;;;
Negation, unäre Operation;;;;;;;;;;;;;;;;;;
Kombination und Synthese;;;;;;;;;;;;;;;;;;
Reflexivität, Introversion, Reziprozität, Rekursion, Inversion;;;;;;;;;;;;;;;;;;
die Funktion (aus der Mathematik oder von dir in der Gesellschaft oder in der Software-Entwicklung) ([andere] Funktionen heißen in Mathematik auch „Familien“);;;;;;;;;;;;;;;;"der Teil der Numerik, der aus unsicheren (17) Daten und Informationen Funktionen (16) herstellen will (größtenteils sicher); wahrscheinlich u.a. integrieren, Integrale bilden (16/17); eine höhere Form von Integrale bilden, die wohl noch nicht erfunden wurde (32/34)";;
das Absolute (absolut gefundene und gesetzte Punkte und Linien auf einer Analysis-Funktion = Meinungen, die Menschen oder Außerirdische haben können  = sind Abbildungen von Paradigmen auf andere Paradigmen);;;;;Stochastik oder Wahrscheinlichkeitstheorie: Das Bestimmen von Wahrscheinlichkeiten aus Zahlen (größtenteils sicher);;;;;;;;;;"wahrscheinlich u.a. Differenzieren (und alle anderen Arten Funktionen auf Basis von einer Funktion zu erstellen), Ableitungen bilden (17/16); eine höhere Form von Differenzieren, die es wohl noch nicht gibt (34/32)";;;Wahrscheinlich u.a. das Erstellen der Funktion bei der Information der Gegebenheit der Extremalwerte und Sattelpunkte
die Relation (Differenzialrechnung und alles Relationale, das nicht durch einen Wahrheitswert aufgelöst werden kann, wie z.B. ein bloßer Vergleich [<,>,<=,>=]) (zwischen Meinungen differenzieren zu können)  (wenn 18. Differenzialrechnung ist, dann ist 1/18 wohl Integralrechnung);;;;;;;;;;;;;;;;;;
das Extreme (z.B. Maxima und  Minima in Analysis-Funktionen oder Bestimmen von „Unendlich“ bei Folgen und Reihen, [nicht-]lineare Optimierung), (extreme Totalitäten – als irgend so etwas wie Universalien oder Transzendentalien [Was ist das?]);;;;;;;;;;;;;;;wahrscheinlich u.a. das Berechnen der Extremalwerte und Sattelpunkte, etc. von einer Funktion;;;
die Klasse (mathematisch, gesellschaftlich, „objekt-orientierte“ Programmierung);;;;;;;;;;;;;;;;;;
Belegung, d.h. Instanziierung (wie in OOP-Softwareentwicklung), Benutzung der Methoden (Klassenfunktionen) des Objektes, alles naheliegende direkte, das man mit Objekten von Klassen anstellen kann (fast sicher);;;;;;;;;;;;;;;;;;
